LineNo.,EventNo.,PID,State,Parent1,Parent2,CF,ACF,Px,Py,Pz,E,M,cTau,SpinProj
365,1,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
366,1,11,1,1,0,0,0,+2.4020601183e+01,-1.9910978664e+01,+2.5364692706e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
367,1,-12,1,1,0,0,0,-2.4020601183e+01,+1.9910978664e+01,-2.5364692706e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
371,2,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
372,2,13,1,1,0,0,0,+3.0903867401e+01,-7.4626259770e+00,-2.4618370820e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
373,2,-14,1,1,0,0,0,-3.0903867401e+01,+7.4626259770e+00,+2.4618370820e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
377,3,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
378,3,-13,1,1,0,0,0,-2.4074879427e+01,+3.1890051735e+01,+4.4976404395e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
379,3,14,1,1,0,0,0,+2.4074879427e+01,-3.1890051735e+01,-4.4976404395e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
383,4,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
384,4,11,1,1,0,0,0,+1.8159700864e+00,-3.8970040956e+01,+9.7386933997e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
385,4,-12,1,1,0,0,0,-1.8159700864e+00,+3.8970040956e+01,-9.7386933997e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
389,5,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
390,5,11,1,1,0,0,0,-3.4139842085e+01,+6.6000380918e+00,-2.0191945627e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
391,5,-12,1,1,0,0,0,+3.4139842085e+01,-6.6000380918e+00,+2.0191945627e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
395,6,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
396,6,13,1,1,0,0,0,+2.5932407070e+01,-3.0493084352e+01,-3.8060555483e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
397,6,-14,1,1,0,0,0,-2.5932407070e+01,+3.0493084352e+01,+3.8060555483e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
401,7,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
402,7,13,1,1,0,0,0,-3.2040131107e+01,+2.0464682947e+01,+1.3093156194e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
403,7,-14,1,1,0,0,0,+3.2040131107e+01,-2.0464682947e+01,-1.3093156194e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
407,8,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
408,8,-13,1,1,0,0,0,-3.7633841423e+01,+1.3681166638e+01,+3.6501572226e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
409,8,14,1,1,0,0,0,+3.7633841423e+01,-1.3681166638e+01,-3.6501572226e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
413,9,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
414,9,-11,1,1,0,0,0,-1.1425959988e+01,-2.7790895072e+01,+2.6719236105e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
415,9,12,1,1,0,0,0,+1.1425959988e+01,+2.7790895072e+01,-2.6719236105e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
419,10,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
420,10,-11,1,1,0,0,0,-2.8537589781e+01,+2.2254142459e+01,+1.7526069196e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
421,10,12,1,1,0,0,0,+2.8537589781e+01,-2.2254142459e+01,-1.7526069196e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
425,11,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
426,11,-13,1,1,0,0,0,+3.6636536968e+01,-5.8594227849e+00,+1.5499526192e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
427,11,14,1,1,0,0,0,-3.6636536968e+01,+5.8594227849e+00,-1.5499526192e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
431,12,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
432,12,11,1,1,0,0,0,+2.4917098880e+01,-2.4902138243e+01,+1.9386224051e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
433,12,-12,1,1,0,0,0,-2.4917098880e+01,+2.4902138243e+01,-1.9386224051e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
437,13,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
438,13,-11,1,1,0,0,0,-3.8005749348e+01,-1.2008661427e-02,-1.3128856039e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
