LineNo.,EventNo.,PID,State,Parent1,Parent2,CF,ACF,Px,Py,Pz,E,M,cTau,SpinProj
365,1,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
366,1,11,1,1,0,0,0,+1.5177662998e+01,+1.2312017802e+01,-3.5140528626e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
367,1,-12,1,1,0,0,0,-1.5177662998e+01,-1.2312017802e+01,+3.5140528626e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
371,2,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
372,2,13,1,1,0,0,0,+2.2564786098e+01,+2.9499707399e+01,+1.5407844766e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
373,2,-14,1,1,0,0,0,-2.2564786098e+01,-2.9499707399e+01,-1.5407844766e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
377,3,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
378,3,-13,1,1,0,0,0,+3.2473853383e+01,-1.3635980669e+01,-1.9398785175e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
379,3,14,1,1,0,0,0,-3.2473853383e+01,+1.3635980669e+01,+1.9398785175e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
383,4,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
384,4,11,1,1,0,0,0,-3.4006323627e+01,+2.2319546200e+00,-2.1339923162e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
385,4,-12,1,1,0,0,0,+3.4006323627e+01,-2.2319546200e+00,+2.1339923162e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
389,5,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
390,5,-11,1,1,0,0,0,+2.9931285487e+01,-1.6413885514e+00,+2.6799775769e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
391,5,12,1,1,0,0,0,-2.9931285487e+01,+1.6413885514e+00,-2.6799775769e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
395,6,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
396,6,11,1,1,0,0,0,-3.7273402882e+01,-5.8557135934e+00,+1.3899929659e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
397,6,-12,1,1,0,0,0,+3.7273402882e+01,+5.8557135934e+00,-1.3899929659e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
401,7,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
402,7,-11,1,1,0,0,0,-2.6447832209e+01,+1.8484136347e+01,-2.3992766901e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
403,7,12,1,1,0,0,0,+2.6447832209e+01,-1.8484136347e+01,+2.3992766901e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
407,8,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
408,8,11,1,1,0,0,0,-5.6432212790e+00,-2.3700384504e+01,-3.1988276236e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
409,8,-12,1,1,0,0,0,+5.6432212790e+00,+2.3700384504e+01,+3.1988276236e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
413,9,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
414,9,-13,1,1,0,0,0,+3.6209890878e+01,-1.2849731706e+01,-1.1854627209e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
415,9,14,1,1,0,0,0,-3.6209890878e+01,+1.2849731706e+01,+1.1854627209e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
419,10,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
420,10,-11,1,1,0,0,0,+3.0351033282e+01,+2.1778479281e+01,-1.4876713599e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
421,10,12,1,1,0,0,0,-3.0351033282e+01,-2.1778479281e+01,+1.4876713599e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
425,11,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
426,11,-13,1,1,0,0,0,+6.8885989951e+00,-3.9599793193e+01,-1.0988956087e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
427,11,14,1,1,0,0,0,-6.8885989951e+00,+3.9599793193e+01,+1.0988956087e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
431,12,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
432,12,-11,1,1,0,0,0,+3.6745408224e+01,-1.0089831268e+01,-1.2836442965e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
433,12,12,1,1,0,0,0,-3.6745408224e+01,+1.0089831268e+01,+1.2836442965e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
437,13,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
438,13,-13,1,1,0,0,0,-1.6290041851e+01,+1.5965970208e+00,+3.6727229722e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
439,13,14,1,1,0,0,0,+1.6290041851e+01,-1.5965970208e+00,-3.6727229722e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
443,14,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
444,14,13,1,1,0,0,0,-3.8899537567e+01,-7.0198800632e+00,+7.3723299976e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
445,14,-14,1,1,0,0,0,+3.8899537567e+01,+7.0198800632e+00,-7.3723299976e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
449,15,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
450,15,-11,1,1,0,0,0,+3.1823941296e+01,-2.4516398249e+01,+1.7282840871e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
451,15,12,1,1,0,0,0,-3.1823941296e+01,+2.4516398249e+01,-1.7282840871e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
455,16,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
456,16,11,1,1,0,0,0,+3.3859564511e+01,-1.9004429136e+01,-1.0448232047e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
457,16,-12,1,1,0,0,0,-3.3859564511e+01,+1.9004429136e+01,+1.0448232047e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
461,17,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
462,17,11,1,1,0,0,0,-3.7352553450e+01,-2.3148383973e+00,-1.4704838066e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
463,17,-12,1,1,0,0,0,+3.7352553450e+01,+2.3148383973e+00,+1.4704838066e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
467,18,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
468,18,13,1,1,0,0,0,+2.3211563689e+01,-2.9846716645e+01,-1.3682134527e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
469,18,-14,1,1,0,0,0,-2.3211563689e+01,+2.9846716645e+01,+1.3682134527e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
