LineNo.,EventNo.,PID,State,Parent1,Parent2,CF,ACF,Px,Py,Pz,E,M,cTau,SpinProj
58429,9678,-12,1,1,0,0,0,-1.2808288738e+01,-3.5910270891e+01,+1.2775138853e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58433,9679,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58434,9679,11,1,1,0,0,0,-3.0788315799e+01,+2.4943770090e+01,-6.8331495330e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58435,9679,-12,1,1,0,0,0,+3.0788315799e+01,-2.4943770090e+01,+6.8331495330e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58439,9680,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58440,9680,13,1,1,0,0,0,-1.9565370436e+01,-1.4453756994e+01,+3.2017013868e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58441,9680,-14,1,1,0,0,0,+1.9565370436e+01,+1.4453756994e+01,-3.2017013868e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58445,9681,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58446,9681,-13,1,1,0,0,0,-3.1931155347e+01,-4.8130093508e+00,-2.3959137042e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58447,9681,14,1,1,0,0,0,+3.1931155347e+01,+4.8130093508e+00,+2.3959137042e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58451,9682,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58452,9682,11,1,1,0,0,0,+4.9492674057e+00,-9.8255077183e+00,+3.8675161781e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58453,9682,-12,1,1,0,0,0,-4.9492674057e+00,+9.8255077183e+00,-3.8675161781e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58457,9683,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58458,9683,-13,1,1,0,0,0,+3.9998408676e+01,+3.1892768739e+00,+2.5999624942e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58459,9683,14,1,1,0,0,0,-3.9998408676e+01,-3.1892768739e+00,-2.5999624942e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58463,9684,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58464,9684,13,1,1,0,0,0,+3.1482083588e+01,+2.4327431416e+01,+5.8188041918e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58465,9684,-14,1,1,0,0,0,-3.1482083588e+01,-2.4327431416e+01,-5.8188041918e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58469,9685,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58470,9685,11,1,1,0,0,0,-3.0227709800e+01,-3.9395080497e+00,-2.6221552684e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58471,9685,-12,1,1,0,0,0,+3.0227709800e+01,+3.9395080497e+00,+2.6221552684e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58475,9686,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58476,9686,13,1,1,0,0,0,+3.2498232593e+01,-6.1737570062e+00,+2.2859431125e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58477,9686,-14,1,1,0,0,0,-3.2498232593e+01,+6.1737570062e+00,-2.2859431125e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58481,9687,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58482,9687,-13,1,1,0,0,0,-3.2995625080e+01,-3.0448835735e+00,+2.2777651287e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58483,9687,14,1,1,0,0,0,+3.2995625080e+01,+3.0448835735e+00,-2.2777651287e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58487,9688,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58488,9688,-13,1,1,0,0,0,+2.1966567311e+01,-3.2643882146e+01,+8.2855819128e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58489,9688,14,1,1,0,0,0,-2.1966567311e+01,+3.2643882146e+01,-8.2855819128e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
